2026-06-24 15:19:12,699 | INFO | __main__ | Modelo PES-like RWF guardado (DirectExtraTrees, MAE train 0.015)
2026-06-24 15:20:13,711 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-24 15:21:32,706 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-24 15:21:32,804 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-24 15:21:43,352 | INFO | __main__ | Modelo PES-like GK guardado (DirectGradientBoosting, MAE train 0.267)
2026-06-24 15:23:23,442 | INFO | __main__ | Modelo PES-like CB guardado (DirectHistGradient, MAE train 0.727)
2026-06-24 15:25:21,541 | INFO | __main__ | Modelo PES-like LB guardado (DirectHistGradient, MAE train 1.008)
2026-06-24 15:27:04,002 | INFO | __main__ | Modelo PES-like RB guardado (DirectHistGradient, MAE train 0.994)
2026-06-24 15:28:41,488 | INFO | __main__ | Modelo PES-like DMF guardado (DirectHistGradient, MAE train 0.958)
2026-06-24 15:30:16,264 | INFO | __main__ | Modelo PES-like CMF guardado (DirectExtraTrees, MAE train 0.024)
2026-06-24 15:31:51,934 | INFO | __main__ | Modelo PES-like LMF guardado (DirectHistGradient, MAE train 0.936)
2026-06-24 15:33:29,495 | INFO | __main__ | Modelo PES-like RMF guardado (DirectHistGradient, MAE train 0.878)
2026-06-24 15:35:18,314 | INFO | __main__ | Modelo PES-like AMF guardado (DirectExtraTrees, MAE train 0.018)
2026-06-24 15:37:10,007 | INFO | __main__ | Modelo PES-like LWF guardado (DirectHistGradient, MAE train 0.830)
2026-06-24 15:39:08,624 | INFO | __main__ | Modelo PES-like RWF guardado (DirectExtraTrees, MAE train 0.015)
2026-06-24 15:41:06,007 | INFO | __main__ | Modelo PES-like SS guardado (DirectHistGradient, MAE train 0.657)
2026-06-24 15:42:56,709 | INFO | __main__ | Modelo PES-like CF guardado (DirectHistGradient, MAE train 0.657)
2026-06-24 15:42:56,727 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
